returned_episode_lengths,returned_episode_returns,returned_episode_solved,delay,method,level,execute_horizon
173.0791,0.79785156,0.8310547,0,bid,worlds/l/trampoline.json,4
50.805664,0.97998047,0.9536133,0,bid,worlds/l/car_launch.json,4
35.15869,0.9746094,0.9536133,0,hard_masking,worlds/l/grasp_easy.json,4
117.083984,0.6723633,0.65478516,0,hard_masking,worlds/l/catapult.json,4
49.95215,0.99853516,0.99902344,0,hard_masking,worlds/l/cartpole_thrust.json,4
49.63623,0.9824219,0.93359375,0,hard_masking,worlds/l/hard_lunar_lander.json,4
75.83594,0.984375,0.86621094,0,hard_masking,worlds/l/mjc_half_cheetah.json,4
165.3872,0.9970703,0.90527344,0,hard_masking,worlds/l/mjc_swimmer.json,4
183.88135,0.8515625,0.7373047,0,hard_masking,worlds/l/mjc_walker.json,4
77.28711,0.9897461,0.9897461,0,hard_masking,worlds/l/h17_unicycle.json,4
48.484863,0.9926758,0.94384766,0,hard_masking,worlds/l/chain_lander.json,4
67.82373,0.9916992,0.9741211,0,hard_masking,worlds/l/catcher_v3.json,4
171.97461,0.8144531,0.8457031,0,hard_masking,worlds/l/trampoline.json,4
52.69922,0.9716797,0.9472656,0,hard_masking,worlds/l/car_launch.json,4
35.370117,0.97802734,0.9628906,0,naive,worlds/l/grasp_easy.json,5
124.69629,0.63671875,0.6254883,0,naive,worlds/l/catapult.json,5
50.601074,0.99560547,0.99560547,0,naive,worlds/l/cartpole_thrust.json,5
49.734375,0.98046875,0.93896484,0,naive,worlds/l/hard_lunar_lander.json,5
74.90381,0.99121094,0.87158203,0,naive,worlds/l/mjc_half_cheetah.json,5
173.6001,0.99316406,0.89501953,0,naive,worlds/l/mjc_swimmer.json,5
187.54785,0.79248047,0.6855469,0,naive,worlds/l/mjc_walker.json,5
78.197754,0.9868164,0.98583984,0,naive,worlds/l/h17_unicycle.json,5
48.59619,0.9946289,0.9370117,0,naive,worlds/l/chain_lander.json,5
68.06348,0.98828125,0.9765625,0,naive,worlds/l/catcher_v3.json,5
172.42627,0.81103516,0.84277344,0,naive,worlds/l/trampoline.json,5
52.97705,0.9682617,0.9482422,0,naive,worlds/l/car_launch.json,5
33.925293,0.9824219,0.95947266,0,realtime,worlds/l/grasp_easy.json,5
130.1875,0.609375,0.59716797,0,realtime,worlds/l/catapult.json,5
51.8584,0.99609375,0.9970703,0,realtime,worlds/l/cartpole_thrust.json,5
49.351074,0.98339844,0.9477539,0,realtime,worlds/l/hard_lunar_lander.json,5
75.16211,0.98828125,0.8803711,0,realtime,worlds/l/mjc_half_cheetah.json,5
178.71924,0.99121094,0.89208984,0,realtime,worlds/l/mjc_swimmer.json,5
195.34131,0.7006836,0.6176758,0,realtime,worlds/l/mjc_walker.json,5
79.14014,0.9916992,0.9892578,0,realtime,worlds/l/h17_unicycle.json,5
48.36621,0.99560547,0.9472656,0,realtime,worlds/l/chain_lander.json,5
68.47119,0.96875,0.9609375,0,realtime,worlds/l/catcher_v3.json,5
172.40332,0.8066406,0.8378906,0,realtime,worlds/l/trampoline.json,5
52.961426,0.96972656,0.95458984,0,realtime,worlds/l/car_launch.json,5
35.444824,0.9760742,0.9609375,0,bid,worlds/l/grasp_easy.json,5
127.00488,0.625,0.6118164,0,bid,worlds/l/catapult.json,5
50.660156,0.99121094,0.99365234,0,bid,worlds/l/cartpole_thrust.json,5
49.44922,0.9868164,0.9394531,0,bid,worlds/l/hard_lunar_lander.json,5
76.09912,0.9848633,0.8745117,0,bid,worlds/l/mjc_half_cheetah.json,5
177.19482,0.9902344,0.9003906,0,bid,worlds/l/mjc_swimmer.json,5
193.72119,0.7167969,0.6308594,0,bid,worlds/l/mjc_walker.json,5
79.34424,0.9868164,0.9848633,0,bid,worlds/l/h17_unicycle.json,5
48.32959,0.99609375,0.9399414,0,bid,worlds/l/chain_lander.json,5
68.16748,0.98339844,0.97216797,0,bid,worlds/l/catcher_v3.json,5
172.08105,0.81152344,0.84521484,0,bid,worlds/l/trampoline.json,5
51.804688,0.97509766,0.9550781,0,bid,worlds/l/car_launch.json,5
35.331543,0.97558594,0.96240234,0,hard_masking,worlds/l/grasp_easy.json,5
124.748535,0.6357422,0.6220703,0,hard_masking,worlds/l/catapult.json,5
50.597656,0.99560547,0.99609375,0,hard_masking,worlds/l/cartpole_thrust.json,5
49.734375,0.98046875,0.93896484,0,hard_masking,worlds/l/hard_lunar_lander.json,5
75.069824,0.9902344,0.8745117,0,hard_masking,worlds/l/mjc_half_cheetah.json,5
173.56299,0.99121094,0.90771484,0,hard_masking,worlds/l/mjc_swimmer.json,5
189.64209,0.76464844,0.67626953,0,hard_masking,worlds/l/mjc_walker.json,5
78.197754,0.9868164,0.98583984,0,hard_masking,worlds/l/h17_unicycle.json,5
48.601074,0.9946289,0.9379883,0,hard_masking,worlds/l/chain_lander.json,5
68.04736,0.9873047,0.97265625,0,hard_masking,worlds/l/catcher_v3.json,5
172.16992,0.81347656,0.84277344,0,hard_masking,worlds/l/trampoline.json,5
52.84131,0.9682617,0.9477539,0,hard_masking,worlds/l/car_launch.json,5
35.39746,0.97021484,0.95166016,0,naive,worlds/l/grasp_easy.json,6
128.44727,0.6176758,0.60253906,0,naive,worlds/l/catapult.json,6
51.23877,0.99609375,0.9970703,0,naive,worlds/l/cartpole_thrust.json,6
49.845703,0.96875,0.93603516,0,naive,worlds/l/hard_lunar_lander.json,6
75.086426,0.9873047,0.8642578,0,naive,worlds/l/mjc_half_cheetah.json,6
182.12158,0.98535156,0.88427734,0,naive,worlds/l/mjc_swimmer.json,6
192.3418,0.7416992,0.6489258,0,naive,worlds/l/mjc_walker.json,6
78.31348,0.98095703,0.97998047,0,naive,worlds/l/h17_unicycle.json,6
48.271973,0.99658203,0.95214844,0,naive,worlds/l/chain_lander.json,6
67.87988,0.98535156,0.96484375,0,naive,worlds/l/catcher_v3.json,6
171.17725,0.8198242,0.85498047,0,naive,worlds/l/trampoline.json,6
58.976562,0.9433594,0.92041016,0,naive,worlds/l/car_launch.json,6
34.54785,0.9711914,0.9506836,0,realtime,worlds/l/grasp_easy.json,6
127.484375,0.6220703,0.6088867,0,realtime,worlds/l/catapult.json,6
52.12744,0.99560547,0.9970703,0,realtime,worlds/l/cartpole_thrust.json,6
49.77295,0.98095703,0.9458008,0,realtime,worlds/l/hard_lunar_lander.json,6
75.07422,0.9873047,0.87597656,0,realtime,worlds/l/mjc_half_cheetah.json,6
185.32178,0.97998047,0.8911133,0,realtime,worlds/l/mjc_swimmer.json,6
196.01172,0.6933594,0.6113281,0,realtime,worlds/l/mjc_walker.json,6
79.02588,0.98046875,0.98046875,0,realtime,worlds/l/h17_unicycle.json,6
48.51123,0.9946289,0.94384766,0,realtime,worlds/l/chain_lander.json,6
68.2041,0.9794922,0.9633789,0,realtime,worlds/l/catcher_v3.json,6
172.18164,0.8046875,0.83984375,0,realtime,worlds/l/trampoline.json,6
58.563477,0.9394531,0.92285156,0,realtime,worlds/l/car_launch.json,6
36.2583,0.96875,0.95458984,0,bid,worlds/l/grasp_easy.json,6
126.33252,0.6279297,0.61328125,0,bid,worlds/l/catapult.json,6
51.12207,0.99365234,0.9941406,0,bid,worlds/l/cartpole_thrust.json,6
