delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved,worker_id
3,bid,worlds/l/grasp_easy.json,3,1.2227268477989128,0.99884444,29.965332,0.87597656,0.8833008,0
3,bid,worlds/l/catapult.json,3,1.2227268477989128,5.807585,174.22754,0.40283203,0.38720703,0
3,naive,worlds/l/grasp_easy.json,4,0.6434512151987292,0.9997722,29.993164,0.78515625,0.81640625,0
3,naive,worlds/l/catapult.json,4,0.6434512151987292,6.3843265,191.52979,0.3178711,0.30029297,0
3,discrete_rtc,worlds/l/grasp_easy.json,4,0.6575680501002352,1.0672364,32.01709,0.8808594,0.8876953,0
3,discrete_rtc,worlds/l/catapult.json,4,0.6575680501002352,5.1702313,155.10693,0.49169922,0.4790039,0
3,bid,worlds/l/grasp_easy.json,4,1.212839438399533,0.982129,29.463867,0.82666016,0.85058594,0
3,bid,worlds/l/catapult.json,4,1.212839438399533,6.2083664,186.25098,0.34375,0.32910156,0
3,naive,worlds/l/grasp_easy.json,5,0.6546975341509096,0.98789066,29.636719,0.7895508,0.8256836,0
3,naive,worlds/l/catapult.json,5,0.6546975341509096,6.379932,191.39795,0.31982422,0.30078125,0
3,discrete_rtc,worlds/l/grasp_easy.json,5,0.6802188762492734,1.2191406,36.57422,0.8149414,0.8383789,0
3,discrete_rtc,worlds/l/catapult.json,5,0.6802188762492734,5.296029,158.88086,0.47460938,0.46435547,0
3,bid,worlds/l/grasp_easy.json,5,1.2593914691504324,0.9785808,29.357422,0.8017578,0.84033203,0
3,bid,worlds/l/catapult.json,5,1.2593914691504324,6.179216,185.37646,0.34716797,0.33447266,0
4,naive,worlds/l/grasp_easy.json,4,0.6659103852522094,1.0163249,30.489746,0.73535156,0.77197266,0
4,naive,worlds/l/catapult.json,4,0.6659103852522094,6.3222985,189.66895,0.32763672,0.31201172,0
4,discrete_rtc,worlds/l/grasp_easy.json,4,0.6755159107997315,1.1187338,33.56201,0.84814453,0.86035156,0
4,discrete_rtc,worlds/l/catapult.json,4,0.6755159107997315,5.0171065,150.51318,0.5151367,0.50341797,0
4,bid,worlds/l/grasp_easy.json,4,1.2461816218012245,1.0031413,30.094238,0.8017578,0.82373047,0
4,bid,worlds/l/catapult.json,4,1.2461816218012245,6.2849774,188.54932,0.33154297,0.31835938,0
0,naive,worlds/l/cartpole_thrust.json,1,0.625070910199429,1.4256836,42.770508,0.99316406,0.9946289,1
0,naive,worlds/l/hard_lunar_lander.json,1,0.625070910199429,1.4411948,43.23584,0.98095703,0.9584961,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,1,0.6472825054515852,1.4256836,42.770508,0.99316406,0.9946289,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,1,0.6472825054515852,1.4411948,43.23584,0.98095703,0.9584961,1
0,bid,worlds/l/cartpole_thrust.json,1,1.128955964400666,1.4469402,43.408203,0.9980469,0.9980469,1
0,bid,worlds/l/hard_lunar_lander.json,1,1.128955964400666,1.4358724,43.07617,0.9902344,0.95458984,1
0,naive,worlds/l/cartpole_thrust.json,2,0.6253330691513839,1.4216635,42.649902,0.953125,0.9667969,1
0,naive,worlds/l/hard_lunar_lander.json,2,0.6253330691513839,1.4456869,43.370605,0.97753906,0.95458984,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,2,0.6403006994485623,1.4216635,42.649902,0.953125,0.9667969,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,2,0.6403006994485623,1.4456869,43.370605,0.97753906,0.95458984,1
0,bid,worlds/l/cartpole_thrust.json,2,1.1377032412507109,1.4374349,43.123047,0.97998047,0.9863281,1
0,bid,worlds/l/hard_lunar_lander.json,2,1.1377032412507109,1.4426271,43.27881,0.9868164,0.95703125,1
0,naive,worlds/l/cartpole_thrust.json,3,0.6332955115503864,1.4242513,42.72754,0.94189453,0.9560547,1
0,naive,worlds/l/hard_lunar_lander.json,3,0.6332955115503864,1.452295,43.568848,0.97753906,0.94970703,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,3,0.6353674846002832,1.4242513,42.72754,0.94189453,0.9560547,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,3,0.6353674846002832,1.452295,43.568848,0.97753906,0.94970703,1
0,bid,worlds/l/cartpole_thrust.json,3,1.137494101098855,1.4408367,43.225098,0.9663086,0.9746094,1
0,bid,worlds/l/hard_lunar_lander.json,3,1.137494101098855,1.4435711,43.30713,0.97802734,0.9550781,1
0,naive,worlds/l/cartpole_thrust.json,4,0.6275821110524703,1.436084,43.08252,0.9375,0.9536133,1
0,naive,worlds/l/hard_lunar_lander.json,4,0.6275821110524703,1.4608887,43.82666,0.9707031,0.9423828,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,4,0.637967382199713,1.436084,43.08252,0.9375,0.9536133,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,4,0.637967382199713,1.4608887,43.82666,0.9707031,0.9423828,1
0,bid,worlds/l/cartpole_thrust.json,4,1.1349026849493384,1.4458009,43.374023,0.95996094,0.97265625,1
0,bid,worlds/l/hard_lunar_lander.json,4,1.1349026849493384,1.4503745,43.51123,0.9819336,0.9477539,1
0,naive,worlds/l/cartpole_thrust.json,5,0.6417160726006841,1.4442872,43.328613,0.9501953,0.9633789,1
0,naive,worlds/l/hard_lunar_lander.json,5,0.6417160726006841,1.4661622,43.984863,0.96875,0.94628906,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,5,0.66146786265017,1.4442872,43.328613,0.9501953,0.9633789,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,5,0.66146786265017,1.4661622,43.984863,0.96875,0.94628906,1
0,bid,worlds/l/cartpole_thrust.json,5,1.1378652437997516,1.4492676,43.478027,0.9589844,0.9741211,1
0,bid,worlds/l/hard_lunar_lander.json,5,1.1378652437997516,1.4620444,43.86133,0.9707031,0.9477539,1
0,naive,worlds/l/cartpole_thrust.json,6,0.6421190514491173,1.4412599,43.237793,0.87158203,0.9111328,1
0,naive,worlds/l/hard_lunar_lander.json,6,0.6421190514491173,1.455241,43.657227,0.97216797,0.9472656,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,6,0.6521288787480444,1.4412599,43.237793,0.87158203,0.9111328,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,6,0.6521288787480444,1.455241,43.657227,0.97216797,0.9472656,1
0,bid,worlds/l/cartpole_thrust.json,6,1.151650445398991,1.4620932,43.862793,0.91748047,0.9428711,1
0,bid,worlds/l/hard_lunar_lander.json,6,1.151650445398991,1.4523438,43.570312,0.9658203,0.9428711,1
0,naive,worlds/l/cartpole_thrust.json,7,0.6413107821514131,1.4570314,43.710938,0.8359375,0.88916016,1
0,naive,worlds/l/hard_lunar_lander.json,7,0.6413107821514131,1.4780926,44.342773,0.94433594,0.93603516,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,7,0.6490627777006012,1.4570314,43.710938,0.8359375,0.88916016,1
0,discrete_rtc,worlds/l/hard_lunar_lander.json,7,0.6490627777006012,1.4780926,44.342773,0.94433594,0.93603516,1
0,bid,worlds/l/cartpole_thrust.json,7,1.1285110201017232,1.4749675,44.249023,0.87646484,0.9135742,1
0,bid,worlds/l/hard_lunar_lander.json,7,1.1285110201017232,1.4763347,44.29004,0.9433594,0.9296875,1
0,naive,worlds/l/cartpole_thrust.json,8,0.6352037238015328,1.4669597,44.00879,0.8149414,0.87597656,1
0,naive,worlds/l/hard_lunar_lander.json,8,0.6352037238015328,1.4771647,44.31494,0.9448242,0.9291992,1
0,discrete_rtc,worlds/l/cartpole_thrust.json,8,0.666581492300611,1.4669597,44.00879,0.8149414,0.87597656,1
