delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved
3,bid,worlds/l/chain_lander.json,3,1.2598425840958953,1.6306479,48.919434,0.99609375,0.9506836
4,naive,worlds/l/mjc_walker.json,4,0.7116677412006538,6.376416,191.29248,-0.075683594,0.091796875
4,naive,worlds/l/h17_unicycle.json,4,0.7116677412006538,3.4566407,103.69922,0.07128906,0.33642578
4,naive,worlds/l/chain_lander.json,4,0.7116677412006538,1.7018393,51.055176,0.9814453,0.93847656
4,discrete_rtc,worlds/l/mjc_walker.json,4,0.7167427874461282,5.7042484,171.12744,0.5810547,0.6269531
4,discrete_rtc,worlds/l/h17_unicycle.json,4,0.7167427874461282,2.533317,75.99951,0.6791992,0.77246094
4,discrete_rtc,worlds/l/chain_lander.json,4,0.7167427874461282,1.6624675,49.874023,0.9916992,0.9433594
4,bid,worlds/l/mjc_walker.json,4,1.1406388015020639,6.225391,186.76172,-0.024902344,0.13916016
4,bid,worlds/l/h17_unicycle.json,4,1.1406388015020639,3.3199058,99.59717,0.09765625,0.35595703
4,bid,worlds/l/chain_lander.json,4,1.1406388015020639,1.6525066,49.575195,0.99072266,0.94677734
0,naive,worlds/l/catcher_v3.json,1,0.703930062049767,2.172754,65.18262,0.91845703,0.9194336
0,naive,worlds/l/trampoline.json,1,0.703930062049767,3.8383303,115.1499,-0.4975586,0.024414062
0,naive,worlds/l/car_launch.json,1,0.703930062049767,2.2394857,67.18457,0.9057617,0.8911133
0,discrete_rtc,worlds/l/catcher_v3.json,1,0.7301890297501814,2.1725912,65.177734,0.9194336,0.9189453
0,discrete_rtc,worlds/l/trampoline.json,1,0.7301890297501814,3.8383303,115.1499,-0.4975586,0.024414062
0,discrete_rtc,worlds/l/car_launch.json,1,0.7301890297501814,2.24056,67.2168,0.9057617,0.8911133
0,bid,worlds/l/catcher_v3.json,1,1.4860570126504171,2.1949382,65.848145,0.9199219,0.92333984
0,bid,worlds/l/trampoline.json,1,1.4860570126504171,4.1006513,123.01953,-0.50341797,0.011230469
0,bid,worlds/l/car_launch.json,1,1.4860570126504171,2.0441244,61.32373,0.9316406,0.91552734
1,naive,worlds/l/catcher_v3.json,1,0.6960965029953513,2.251937,67.558105,0.51904297,0.66064453
1,naive,worlds/l/trampoline.json,1,0.6960965029953513,5.2483726,157.45117,-0.14160156,0.19189453
1,naive,worlds/l/car_launch.json,1,0.6960965029953513,3.3850424,101.55127,0.6279297,0.671875
1,discrete_rtc,worlds/l/catcher_v3.json,1,0.7087434825545642,2.172575,65.177246,0.95654297,0.94384766
1,discrete_rtc,worlds/l/trampoline.json,1,0.7087434825545642,4.404948,132.14844,-0.45898438,0.0146484375
1,discrete_rtc,worlds/l/car_launch.json,1,0.7087434825545642,2.398812,71.964355,0.82373047,0.83984375
1,bid,worlds/l/catcher_v3.json,1,1.2464948966458906,2.2396486,67.18945,0.7475586,0.8066406
1,bid,worlds/l/trampoline.json,1,1.2464948966458906,6.4031415,192.09424,-0.3388672,0.023925781
1,bid,worlds/l/car_launch.json,1,1.2464948966458906,2.984245,89.52734,0.6645508,0.7285156
2,naive,worlds/l/catcher_v3.json,2,0.7016166902030818,2.257357,67.7207,0.14355469,0.40673828
